uid	sex	bdate	city	langs
363794579	female	24.9.2002	Нерчинский Завод	Русский,English,日本語
360479799	female	26.1.1987	Краснодар	Русский,汉语
360224243	female	1.5.2002	Чита	
359090513	male	25.7	Воронеж	
357223603	male	8.11.2002	Петровск-Забайкальский	
356261298	male	7.1.2002	Краснокаменск	
353667433	female	11.1	Забайкальск	
353423744	female	9.9.1996	Чита	
350031872	female		Заводоуковск	
349241981	male	1.11.1973	Петровск-Забайкальский	
343806708	male	2.9.1999	Петровск-Забайкальский	
343375647	female	20.4.2002	Петровск-Забайкальский	
343260418	male		Забайкальск	
341379918	female	18.6	Омск	
339958678	male	27.4	Киров	
339957925	female	13.12	Петровск-Забайкальский	
339743246	female	16.11.2001	Петровск-Забайкальский	
339328607	female	5.11	Зима	
339268320	male	3.8.1998	Петровск-Забайкальский	
338232098	female	12.4	Забайкальск	
337297554	male	2.6.1993	Казань	
336173282	female		Улан-Удэ	
334038434	female		Забайкальск	
332645098	female		Забайкальск	
332280885	male	11.2.2002	Забайкальск	
331441821	female	31.12	Петровск-Забайкальский	
328821618	female	14.2	Краснодар	
328743402	female	25.1.2001	Краснокаменск	
328242210	female	3.10	Петровск-Забайкальский	
326645255	male	6.7	Забайкальск	
326145915	male	11.11.1995	Петровск-Забайкальский	
324775861	male		Петровск-Забайкальский	
324644420	male	25.6.2000	Чита	
322961697	female	23.5	Петровск-Забайкальский	
321263388	female	10.8.1999	Чита	Русский,English
320934496	female		Петровск-Забайкальский	
323770496	male	3.7	Чита	
320487333	female	10.10	Чита	
320319106	male	18.1	Петровск-Забайкальский	
320291027	male	30.12	Краснокаменск	
319825912	male	15.12	Иркутск	
319521282	female	1.2.2002	Петровск-Забайкальский	
319313987	female	5.2	Петровск-Забайкальский	
319053393	female	6.11	Забайкальск	
319042116	male		Забайкальск	
318879768	male	27.6.1994	Забайкальск	
317924395	female	29.9	Чита	
323649230	female	21.2	Санкт-Петербург	
317513027	female	26.1.2002	Забайкальск	
317387367	male	15.3.1982	Красноярск	
317381788	male	10.7.1999	Илим	
316912504	female		Петровск-Забайкальский	
316787118	male		Новомальтинск	
316607158	female	29.4.1999	Петровск-Забайкальский	Русский,English,Lingua Latina
316479527	male	15.7	Петровск-Забайкальский	
315381091	female	17.4.1991	Чита	
315277889	male	31.8.2002	Челябинск	
315166809	male	16.7.2001	Нерчинский Завод	
314905347	female	21.9.1997	Петровск-Забайкальский	
313385200	female	6.3	Пенза	
313186555	male	24.9.1967	Могойтуй	
313135301	male		Петровск-Забайкальский	
312976662	male	3.6.1999	Петровск-Забайкальский	
311864437	female		Краснокаменск	
311648682	female	20.9.1999	Забайкальский	
311490111	female	26.2	Чита	
311240038	female	5.11.2000	Забайкальск	
310526752	female	3.2.1994	Чита	
308804308	male	7.11.1993	Забайкальск	
308753499	male	28.7.1996	Чита	
308409894	male	15.8.1998	Дунай	
307620228	male	19.11.1901	Яровое	
306983542	female	17.9	Петровск-Забайкальский	
306366532	male		Los Angeles	
314947532	male	8.2	Братск	
305799360	female	29.7	Забайкальск	
307337360	female	9.12	Москва	
